Feature ID	Taxon	Confidence
01102a068ddf5591c543e9689b3276c7	d__Bacteria; p__Acidobacteriota; c__Subgroup_25; o__Subgroup_25; f__Subgroup_25; g__Subgroup_25; s__uncultured_bacterium	0.9357699228406946
01129d424b091dd8b21fac9e5edffcd9	d__Bacteria; p__Dadabacteria; c__Dadabacteriia; o__Dadabacteriales; f__Dadabacteriales; g__Dadabacteriales	0.7170288970808402
01220c2c3f11651292afa77359cec3d4	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__DG-20; f__DG-20; g__DG-20; s__uncultured_bacterium	0.9999999985810888
01359b1164f09fc5fa5c078636bc8473	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_euryarchaeote	0.7238518782779005
013a93b86b97d99f0546aa9d767eeed0	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae	0.999999999943197
0144a761721583bb4acc1af57044d8ae	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__MSBL9; f__GWC2-45-44; g__GWC2-45-44; s__uncultured_bacterium	0.9999999986922745
01455a9c112fa774d2a775fecf155a92	d__Bacteria; p__Chloroflexi; c__Anaerolineae	0.9967275343576304
014af8827f5940d7eec0ca175e881082	d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales	0.9999932546449798
0150691abf078c1f7485972e4820cff4	d__Bacteria; p__Bacteroidota; c__OC31; o__OC31; f__OC31; g__OC31; s__uncultured_bacterium	0.9999999999990337
0157074e15d56dd4372f4c5157a1ab51	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylocaldum	0.9998638491500638
015ae470a415e4f5c094574b73bcc95d	d__Bacteria; p__Firmicutes; c__Limnochordia; o__Limnochordales; f__Limnochordaceae; g__Limnochordaceae; s__uncultured_bacterium	0.8831592182629339
01682f60697e2bed8c05abb5aba8a05c	d__Bacteria; p__Calditrichota; c__Calditrichia; o__Calditrichales; f__Calditrichaceae; g__SM23-31; s__uncultured_bacterium	0.9996340734468696
016a372ed10b8fc27e6f925c235c1dd4	d__Bacteria; p__Armatimonadota; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae; g__Fimbriimonadaceae	0.9999952799970272
016d4ff287f89313e0d8745ba67589b8	d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20; s__uncultured_bacterium	0.9575756296532045
016da7c2e02cdca0a375fb51f0b77cb8	d__Bacteria; p__Spirochaetota; c__Brevinematia; o__Brevinematales; f__Brevinemataceae; g__Brevinema; s__uncultured_bacterium	0.999999899501821
01716dba095090dc233fd5a3e0acd221	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Candidatus_Woykebacteria; f__Candidatus_Woykebacteria; g__Candidatus_Woykebacteria; s__uncultured_Microgenomates	0.8985013052359931
01742d1ca2bf7e8ba9b0ad30570494b3	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured; s__uncultured_Acidobacteria	0.8749760098589668
